ct_id,geo,units_total,units_bachelor,units_1br,units_2br,units_3br_plus,share_bachelor,share_1br,share_2br,share_3br_plus,rent_bachelor,rent_1br,rent_2br,rent_3br_plus,rent_total,vacancy_bachelor,vacancy_1br,vacancy_2br,vacancy_3br_plus,vacancy_total,median_household_income_2020,annual_rent_total,rent_income_pct,affordability_tier
0130.02,0130.02 - Winnipeg,,0.0,617.0,541.0,29.0,,,,,,1058.0,1105.0,,1085.0,,0.4,1.6,,0.9,65000.0,13020.0,20.03076923076923,Higher relative burden
0131.00,0131.00 - Winnipeg,97.0,0.0,30.0,64.0,3.0,0.0,0.30927835051546393,0.6597938144329897,0.030927835051546393,,,1111.0,,1027.0,,,,,,65500.0,12324.0,18.81526717557252,Moderate relative burden
0132.00,0132.00 - Winnipeg,168.0,2.0,134.0,32.0,0.0,0.011904761904761904,0.7976190476190477,0.19047619047619047,0.0,,,,,,,,,,,87000.0,,,
0133.00,0133.00 - Winnipeg,217.0,4.0,89.0,123.0,1.0,0.018433179723502304,0.41013824884792627,0.5668202764976958,0.004608294930875576,,,,,,,,,,,77500.0,,,
0134.00,0134.00 - Winnipeg,683.0,48.0,421.0,211.0,3.0,0.07027818448023426,0.616398243045388,0.3089311859443631,0.004392386530014641,802.0,988.0,1307.0,,1084.0,,0.7,0.4,,0.6,75000.0,13008.0,17.344,Moderate relative burden
0140.01,0140.01 - Winnipeg,376.0,0.0,90.0,199.0,87.0,0.0,0.2393617021276596,0.5292553191489362,0.23138297872340424,,,,,,,,,,,83000.0,,,
0140.02,0140.02 - Winnipeg,89.0,0.0,25.0,48.0,16.0,0.0,0.2808988764044944,0.5393258426966292,0.1797752808988764,,,,,,,,,,,110000.0,,,
0140.04,0140.04 - Winnipeg,,16.0,331.0,928.0,126.0,,,,,1139.0,1381.0,1669.0,1784.0,1599.0,0.0,0.3,0.4,0.0,0.4,95000.0,19188.0,20.197894736842105,Higher relative burden
0140.05,0140.05 - Winnipeg,515.0,0.0,97.0,378.0,40.0,0.0,0.1883495145631068,0.7339805825242719,0.07766990291262135,,1352.0,1594.0,1835.0,1564.0,,0.0,0.4,0.0,0.3,101000.0,18768.0,18.58217821782178,Moderate relative burden
0141.01,0141.01 - Winnipeg,885.0,34.0,398.0,383.0,70.0,0.0384180790960452,0.4497175141242938,0.4327683615819209,0.07909604519774012,,1419.0,1689.0,,1549.0,,1.1,0.0,,0.6,71500.0,18588.0,25.997202797202796,Highest relative burden
